year,Artiodactyla,Carnivora,Pholidota,Primates,Proboscidea
2000,4,6,2,1,0
2001,419,26,0,25,12
2002,7,11,0,23,1
2003,18,17,0,19,1
2004,5,1,0,22,3
2005,3,5,0,24,0
2006,8,4,0,32,7
2007,43,10,0,35,3
2008,17,18,0,27,2
2009,31,20,0,61,7
2010,249,20,1,491,7
2011,253,17,1,744,7
2012,305,172,4,237,150
2013,3417,3517,0,1300,43
2014,1060,1470,0,989,9
2015,336,791,0,341,15
2016,316,163,0,612,57
2017,439,148,1,704,43
2018,651,378,0,1079,23
2019,142,67,2,339,28
2020,133,58,0,630,11
2021,42,59,0,128,17
2022,210,181,0,761,44
2023,612,751,7,879,74
2024,469,854,6,1280,94
2025,655,957,1,1551,104
2026,363,328,0,1069,56
